UNIXTime,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,MonthOfYear,DayOfYear,WeekOfYear,TimeOfDay(h),TimeOfDay(m),TimeOfDay(s),DayLength(s)
1475200820,310.59,59,30.43,58,27.34,9.0,9,273,39,16,960,57620,43200
1475200522,230.26,59,30.43,46,359.93,3.37,9,273,39,15,955,57322,43200
1475200221,623.31,60,30.43,46,22.18,7.87,9,273,39,15,950,57021,43200
1475199922,312.1,60,30.43,48,4.38,10.12,9,273,39,15,945,56722,43200
1475199624,803.72,60,30.43,44,355.03,7.87,9,273,39,15,940,56424,43200
1475199319,671.97,60,30.42,47,0.4,7.87,9,273,39,15,935,56119,43200
1475199020,670.32,60,30.42,51,53.16,4.5,9,273,39,15,930,55820,43200
1475198721,679.73,60,30.42,48,353.87,9.0,9,273,39,15,925,55521,43200
1475198424,687.62,60,30.43,54,2.04,4.5,9,273,39,15,920,55224,43200
1475198118,697.66,61,30.42,53,34.85,11.25,9,273,39,15,915,54918,43200
1475197821,716.27,61,30.42,44,11.08,7.87,9,273,39,15,910,54621,43200
1475197523,744.43,61,30.43,50,1.6,5.62,9,273,39,15,905,54323,43200
1475197330,612.34,61,30.42,53,345.21,7.87,9,273,39,15,902,54130,43200
1475196921,760.9,61,30.42,50,165.42,4.5,9,273,39,14,895,53721,43200
1475196621,773.71,61,30.42,57,30.3,6.75,9,273,39,14,890,53421,43200
1475196318,790.08,61,30.42,59,34.24,3.37,9,273,39,14,885,53118,43200
1475196023,804.28,61,30.42,59,19.11,7.87,9,273,39,14,880,52823,43200
1475195724,818.82,61,30.42,53,84.61,6.75,9,273,39,14,875,52524,43200
1475195419,855.63,62,30.42,51,31.88,5.62,9,273,39,14,870,52219,43200
1475195120,875.16,62,30.42,58,149.48,3.37,9,273,39,14,865,51920,43200
1475194821,867.9,62,30.42,54,62.54,3.37,9,273,39,14,860,51621,43200
1475194527,872.67,62,30.43,58,39.59,5.62,9,273,39,14,855,51327,43200
1475194220,890.52,62,30.43,50,122.13,4.5,9,273,39,14,850,51020,43200
1475193619,911.06,62,30.43,53,65.07,7.87,9,273,39,14,840,50419,43200
1475193320,925.16,62,30.43,49,69.79,7.87,9,273,39,13,835,50120,43200
1475193020,933.15,62,30.43,47,346.87,5.62,9,273,39,13,830,49820,43200
1475192721,942.73,62,30.43,53,359.93,5.62,9,273,39,13,825,49521,43200
1475192421,955.74,62,30.43,50,9.92,4.5,9,273,39,13,820,49221,43200
1475192121,959.47,62,30.43,54,19.98,9.0,9,273,39,13,815,48921,43200
1475191820,970.22,62,30.43,57,0.9,6.75,9,273,39,13,810,48620,43200
1475191518,974.87,62,30.43,54,19.13,11.25,9,273,39,13,805,48318,43200
1475191220,985.22,62,30.44,53,61.93,7.87,9,273,39,13,800,48020,43200
1475190925,992.19,62,30.43,50,63.35,10.12,9,273,39,13,795,47725,43200
1475190622,997.26,62,30.44,56,171.18,7.87,9,273,39,13,790,47422,43200
1475190322,1004.6,62,30.44,54,45.65,7.87,9,273,39,13,785,47122,43200
1475190019,1007.96,63,30.44,54,15.92,11.25,9,273,39,13,780,46819,43200
1475189722,1013.59,63,30.44,54,130.14,9.0,9,273,39,12,775,46522,43200
1475189420,1020.55,62,30.44,51,21.54,10.12,9,273,39,12,770,46220,43200
1475189119,1025.63,62,30.44,45,70.89,15.75,9,273,39,12,765,45919,43200
1475188820,1029.41,63,30.45,46,59.62,12.37,9,273,39,12,760,45620,43200
1475188520,1034.46,63,30.45,43,79.08,7.87,9,273,39,12,755,45320,43200
1475188219,1033.54,63,30.45,43,359.46,5.62,9,273,39,12,750,45019,43200
1475187921,1039.06,63,30.45,40,59.89,4.5,9,273,39,12,745,44721,43200
1475187620,1039.67,63,30.45,39,40.66,6.75,9,273,39,12,740,44420,43200
1475187320,1037.76,64,30.46,41,20.44,14.62,9,273,39,12,735,44120,43200
1475187024,1039.52,64,30.45,41,40.4,13.5,9,273,39,12,730,43824,43200
1475186720,1040.14,63,30.45,41,117.62,4.5,9,273,39,12,725,43520,43200
1475186427,1039.22,63,30.46,42,354.78,1.12,9,273,39,12,720,43227,43200
1475186120,1035.99,63,30.46,41,35.68,4.5,9,273,39,11,715,42920,43200
1475185820,1033.49,63,30.46,39,350.0,5.62,9,273,39,11,710,42620,43200
1475185518,1029.15,63,30.46,41,14.63,9.0,9,273,39,11,705,42318,43200
1475185220,1025.51,63,30.46,41,349.53,2.25,9,273,39,11,700,42020,43200
1475184919,1023.78,63,30.46,41,31.9,9.0,9,273,39,11,695,41719,43200
1475184622,1017.57,63,30.47,37,339.83,3.37,9,273,39,11,690,41422,43200
1475184320,1013.93,63,30.47,34,67.14,11.25,9,273,39,11,685,41120,43200
1475184021,1009.36,63,30.47,34,61.67,9.0,9,273,39,11,680,40821,43200
1475183722,1002.89,63,30.47,33,32.74,6.75,9,273,39,11,675,40522,43200
1475183516,999.19,63,30.47,31,4.51,6.75,9,273,39,11,671,40316,43200
1475183122,987.02,62,30.47,36,38.9,10.12,9,273,39,11,665,39922,43200
1475182823,981.66,63,30.47,40,28.85,7.87,9,273,39,11,660,39623,43200
1475182521,973.79,63,30.47,35,114.97,5.62,9,273,39,10,655,39321,43200
1475182222,964.46,63,30.47,37,60.94,6.75,9,273,39,10,650,39022,43200
1475181920,957.02,62,30.47,40,37.85,7.87,9,273,39,10,645,38720,43200
1475181622,946.32,62,30.47,44,38.03,11.25,9,273,39,10,640,38422,43200
1475181322,933.08,62,30.47,45,37.37,11.25,9,273,39,10,635,38122,43200
1475181021,926.79,62,30.47,43,10.44,5.62,9,273,39,10,630,37821,43200
1475180719,915.84,62,30.47,42,5.51,11.25,9,273,39,10,625,37519,43200
1475180419,901.65,62,30.47,42,24.74,9.0,9,273,39,10,620,37219,43200
1475180123,899.53,61,30.47,46,37.67,7.87,9,273,39,10,615,36923,43200
1475179820,878.76,62,30.47,49,61.93,7.87,9,273,39,10,610,36620,43200
1475179523,867.98,61,30.47,44,359.93,6.75,9,273,39,10,605,36323,43200
1475179225,855.89,62,30.47,41,26.99,7.87,9,273,39,10,600,36025,43200
1475178921,841.52,61,30.47,42,21.37,9.0,9,273,39,9,595,35721,43200
1475178622,830.19,62,30.47,38,52.73,10.12,9,273,39,9,590,35422,43200
1475178319,815.1,62,30.47,39,61.67,6.75,9,273,39,9,585,35119,43200
1475178020,799.29,62,30.47,41,42.59,5.62,9,273,39,9,580,34820,43200
1475177725,785.6,61,30.47,41,37.83,7.87,9,273,39,9,575,34525,43200
1475177421,768.39,61,30.47,45,7.14,7.87,9,273,39,9,570,34221,43200
1475177119,754.06,61,30.47,44,186.9,4.5,9,273,39,9,565,33919,43200
1475176822,738.75,61,30.47,43,7.25,7.87,9,273,39,9,560,33622,43200
1475176523,722.23,61,30.46,44,33.19,11.25,9,273,39,9,555,33323,43200
1475176223,706.41,61,30.46,44,56.91,6.75,9,273,39,9,550,33023,43200
1475175921,686.3,61,30.46,45,70.29,3.37,9,273,39,9,545,32721,43200
1475175626,669.11,60,30.46,49,16.18,9.0,9,273,39,9,540,32426,43200
1475175321,652.51,61,30.46,47,52.76,2.25,9,273,39,8,535,32121,43200
1475175023,634.99,61,30.46,41,14.96,6.75,9,273,39,8,530,31823,43200
1475174727,617.87,61,30.46,31,19.08,7.87,9,273,39,8,525,31527,43200
1475174421,597.41,61,30.46,34,0.1,2.25,9,273,39,8,520,31221,43200
1475174122,578.24,61,30.46,31,24.56,4.5,9,273,39,8,515,30922,43200
1475173821,559.23,60,30.46,35,41.61,1.12,9,273,39,8,510,30621,43200
1475173521,538.41,60,30.46,37,31.05,3.37,9,273,39,8,505,30321,43200
1475173223,519.16,60,30.46,41,25.35,4.5,9,273,39,8,500,30023,43200
1475172921,499.21,60,30.45,40,3.77,3.37,9,273,39,8,495,29721,43200
1475172619,478.48,60,30.45,40,17.86,3.37,9,273,39,8,490,29419,43200
1475172318,458.27,59,30.45,40,74.63,1.12,9,273,39,8,485,29118,43200
1475172024,438.05,59,30.45,45,64.84,2.25,9,273,39,8,480,28824,43200
1475171719,416.28,60,30.44,30,53.32,5.62,9,273,39,7,475,28519,43200
1475171419,395.14,59,30.44,31,75.7,3.37,9,273,39,7,470,28219,43200
1475171120,373.7,58,30.44,34,58.43,2.25,9,273,39,7,465,27920,43200
1475170819,352.56,57,30.43,34,113.5,1.12,9,273,39,7,460,27619,43200
1475170221,305.78,54,30.43,38,146.52,1.12,9,273,39,7,450,27021,43200
1475169921,278.29,52,30.43,42,142.16,2.25,9,273,39,7,445,26721,43200
1475169628,251.51,51,30.43,44,151.94,2.25,9,273,39,7,440,26428,43200
1475169324,222.48,50,30.43,46,143.23,4.5,9,273,39,7,435,26124,43200
1475169022,164.44,49,30.43,47,172.83,3.37,9,273,39,7,430,25822,43200
1475168723,21.36,48,30.43,48,176.93,4.5,9,273,39,7,425,25523,43200
1475168425,20.0,48,30.42,50,182.88,5.62,9,273,39,7,420,25225,43200
1475168123,19.24,48,30.42,51,173.07,7.87,9,273,39,6,415,24923,43200
1475167819,18.33,47,30.42,53,191.44,7.87,9,273,39,6,410,24619,43200
1475167520,17.31,47,30.42,54,193.99,9.0,9,273,39,6,405,24320,43200
1475167222,16.09,47,30.42,55,190.38,10.12,9,273,39,6,400,24022,43200
1475166919,14.73,47,30.42,56,179.45,10.12,9,273,39,6,395,23719,43200
1475166620,12.53,47,30.42,57,188.58,6.75,9,273,39,6,390,23420,43200
1475166321,9.86,47,30.42,57,188.37,7.87,9,273,39,6,385,23121,43200
1475166020,7.7,47,30.41,58,192.09,7.87,9,273,39,6,380,22820,43200
1475165722,6.17,47,30.41,61,157.11,7.87,9,273,39,6,375,22522,43200
1475165423,4.32,47,30.41,62,177.65,6.75,9,273,39,6,370,22223,43200
1475165120,2.34,47,30.41,62,187.76,7.87,9,273,39,6,365,21920,43200
1475164824,1.47,47,30.41,61,185.73,7.87,9,273,39,6,360,21624,43200
1475164525,1.21,47,30.41,60,184.95,9.0,9,273,39,5,355,21325,43200
1475164221,1.23,47,30.41,59,182.07,9.0,9,273,39,5,350,21021,43200
1475163921,1.24,46,30.41,58,184.89,10.12,9,273,39,5,345,20721,43200
1475163621,1.23,46,30.4,59,190.62,7.87,9,273,39,5,340,20421,43200
1475163326,1.21,46,30.4,58,188.4,7.87,9,273,39,5,335,20126,43200
1475163027,1.21,46,30.4,58,193.81,5.62,9,273,39,5,330,19827,43200
1475162722,1.22,45,30.4,56,191.32,6.75,9,273,39,5,325,19522,43200
1475162424,1.22,45,30.4,56,184.3,5.62,9,273,39,5,320,19224,43200
1475162121,1.2,45,30.4,55,174.74,4.5,9,273,39,5,315,18921,43200
1475161822,1.2,45,30.4,55,184.56,6.75,9,273,39,5,310,18622,43200
1475161520,1.16,46,30.4,55,165.66,6.75,9,273,39,5,305,18320,43200
1475161222,1.15,46,30.4,53,177.23,4.5,9,273,39,5,300,18022,43200
1475160925,1.18,46,30.4,51,173.92,4.5,9,273,39,4,295,17725,43200
1475160625,1.18,46,30.4,50,174.53,5.62,9,273,39,4,290,17425,43200
1475160320,1.18,46,30.4,50,163.85,3.37,9,273,39,4,285,17120,43200
1475160021,1.19,46,30.4,49,166.26,4.5,9,273,39,4,280,16821,43200
1475159719,1.18,46,30.39,49,176.34,3.37,9,273,39,4,275,16519,43200
1475159425,1.2,46,30.39,48,170.62,5.62,9,273,39,4,270,16225,43200
1475159125,1.17,46,30.39,47,176.8,3.37,9,273,39,4,265,15925,43200
1475158821,1.17,46,30.39,47,170.45,4.5,9,273,39,4,260,15621,43200
1475158529,1.18,46,30.39,45,180.3,3.37,9,273,39,4,255,15329,43200
1475158222,1.21,46,30.39,45,187.66,6.75,9,273,39,4,250,15022,43200
1475157918,1.17,46,30.39,45,173.01,5.62,9,273,39,4,245,14718,43200
1475157620,1.18,46,30.39,45,178.75,5.62,9,273,39,4,240,14420,43200
1475157320,1.19,46,30.39,47,171.85,6.75,9,273,39,3,235,14120,43200
1475157026,1.18,46,30.39,47,189.46,6.75,9,273,39,3,230,13826,43200
1475156722,1.2,46,30.39,48,169.78,5.62,9,273,39,3,225,13522,43200
1475156426,1.22,46,30.39,50,183.99,6.75,9,273,39,3,220,13226,43200
1475156122,1.21,46,30.39,52,173.17,5.62,9,273,39,3,215,12922,43200
1475155819,1.22,46,30.38,55,186.34,7.87,9,273,39,3,210,12619,43200
1475155523,1.21,46,30.38,56,159.97,6.75,9,273,39,3,205,12323,43200
1475155223,1.18,47,30.38,57,170.61,4.5,9,273,39,3,200,12023,43200
1475154922,1.24,47,30.39,58,171.98,3.37,9,273,39,3,195,11722,43200
1475154624,1.22,47,30.38,58,177.67,6.75,9,273,39,3,190,11424,43200
1475154319,1.24,47,30.39,58,165.64,5.62,9,273,39,3,185,11119,43200
1475154019,1.26,47,30.38,58,181.39,4.5,9,273,39,3,180,10819,43200
1475153725,1.18,47,30.38,58,156.71,3.37,9,273,39,2,175,10525,43200
1475153425,1.24,47,30.39,58,156.31,7.87,9,273,39,2,170,10225,43200
1475153123,1.19,47,30.39,59,168.46,4.5,9,273,39,2,165,9923,43200
1475152823,1.2,47,30.39,59,172.8,5.62,9,273,39,2,160,9623,43200
1475152522,1.24,47,30.39,60,158.68,5.62,9,273,39,2,155,9322,43200
1475152225,1.23,47,30.39,60,167.47,6.75,9,273,39,2,150,9025,43200
1475151921,1.25,47,30.39,60,165.89,5.62,9,273,39,2,145,8721,43200
1475151621,1.23,47,30.39,62,163.06,5.62,9,273,39,2,140,8421,43200
1475151323,1.2,47,30.39,64,154.2,2.25,9,273,39,2,135,8123,43200
1475151020,1.24,47,30.39,64,190.87,6.75,9,273,39,2,130,7820,43200
1475150724,1.24,47,30.39,66,168.77,4.5,9,273,39,2,125,7524,43200
1475150430,1.23,47,30.4,65,183.32,5.62,9,273,39,2,120,7230,43200
1475150124,1.2,47,30.4,68,170.4,4.5,9,273,39,1,115,6924,43200
1475149823,1.21,48,30.4,70,186.06,5.62,9,273,39,1,110,6623,43200
1475149524,1.22,48,30.4,69,152.34,5.62,9,273,39,1,105,6324,43200
1475149218,1.25,48,30.4,71,171.74,5.62,9,273,39,1,100,6018,43200
1475148921,1.18,48,30.4,73,164.9,6.75,9,273,39,1,95,5721,43200
1475148621,1.22,48,30.4,76,193.66,5.62,9,273,39,1,90,5421,43200
1475148320,1.21,48,30.4,76,183.44,5.62,9,273,39,1,85,5120,43200
1475148023,1.25,48,30.4,77,169.53,5.62,9,273,39,1,80,4823,43200
1475147720,1.23,48,30.41,77,170.89,5.62,9,273,39,1,75,4520,43200
1475147426,1.23,48,30.41,77,180.16,5.62,9,273,39,1,70,4226,43200
1475147119,1.22,48,30.41,78,159.54,5.62,9,273,39,1,65,3919,43200
1475146824,1.23,48,30.41,78,160.62,5.62,9,273,39,1,60,3624,43200
1475146525,1.23,48,30.41,78,179.43,5.62,9,273,39,0,55,3325,43200
1475146229,1.19,48,30.41,78,177.17,5.62,9,273,39,0,50,3029,43200
1475145924,1.22,48,30.41,78,176.09,3.37,9,273,39,0,45,2724,43200
1475145619,1.22,48,30.41,78,170.4,6.75,9,273,39,0,40,2419,43200
1475145321,1.22,49,30.41,78,181.25,4.5,9,273,39,0,35,2121,43200
1475145022,1.22,49,30.41,77,183.79,7.87,9,273,39,0,30,1822,43200
1475144724,1.22,49,30.41,78,166.36,4.5,9,273,39,0,25,1524,43200
1475144425,1.23,49,30.42,77,168.56,5.62,9,273,39,0,20,1225,43200
1475143823,1.21,50,30.42,75,162.03,5.62,9,273,39,0,10,623,43200
1475143520,1.22,50,30.42,75,121.92,2.25,9,273,39,0,5,320,43200
1475143231,1.21,49,30.42,75,148.94,6.75,9,273,39,0,0,31,43200
1475142921,1.24,50,30.42,75,167.24,5.62,9,272,39,23,1435,86121,43260
1475142624,1.23,50,30.42,74,169.78,5.62,9,272,39,23,1430,85824,43260
1475142331,1.22,50,30.42,74,183.28,4.5,9,272,39,23,1425,85531,43260
1475142021,1.21,50,30.42,74,159.15,6.75,9,272,39,23,1420,85221,43260
1475141721,1.24,50,30.42,73,176.24,4.5,9,272,39,23,1415,84921,43260
1475141424,1.23,50,30.42,74,158.44,6.75,9,272,39,23,1410,84624,43260
1475141121,1.23,50,30.42,75,161.04,7.87,9,272,39,23,1405,84321,43260
1475140823,1.24,50,30.43,75,145.97,6.75,9,272,39,23,1400,84023,43260
1475140520,1.19,50,30.43,77,168.62,7.87,9,272,39,23,1395,83720,43260
1475140223,1.22,50,30.43,79,160.36,5.62,9,272,39,23,1390,83423,43260
1475139921,1.22,50,30.43,79,149.44,4.5,9,272,39,23,1385,83121,43260
1475139625,1.23,50,30.43,81,147.81,9.0,9,272,39,23,1380,82825,43260
1475139320,1.2,51,30.43,82,161.97,5.62,9,272,39,22,1375,82520,43260
1475139024,1.22,51,30.43,84,169.04,6.75,9,272,39,22,1370,82224,43260
1475138722,1.2,51,30.43,86,167.45,5.62,9,272,39,22,1365,81922,43260
1475138419,1.23,50,30.43,88,163.91,6.75,9,272,39,22,1360,81619,43260
1475138123,1.22,50,30.43,89,142.26,10.12,9,272,39,22,1355,81323,43260
1475137825,1.23,50,30.43,89,161.97,12.37,9,272,39,22,1350,81025,43260
1475137527,1.23,51,30.43,87,159.7,9.0,9,272,39,22,1345,80727,43260
1475137221,1.22,51,30.44,85,78.09,5.62,9,272,39,22,1340,80421,43260
1475136920,1.23,51,30.43,77,88.77,4.5,9,272,39,22,1335,80120,43260
1475136625,1.21,51,30.43,75,130.36,4.5,9,272,39,22,1330,79825,43260
1475136321,1.21,51,30.43,75,162.76,4.5,9,272,39,22,1325,79521,43260
1475136020,1.2,51,30.43,73,146.94,7.87,9,272,39,22,1320,79220,43260
1475135720,1.2,51,30.43,71,116.25,3.37,9,272,39,21,1315,78920,43260
1475135428,1.21,51,30.43,71,144.4,3.37,9,272,39,21,1310,78628,43260
1475135122,1.22,51,30.43,68,148.71,7.87,9,272,39,21,1305,78322,43260
1475134821,1.21,51,30.43,66,153.22,5.62,9,272,39,21,1300,78021,43260
1475134524,1.24,51,30.43,67,179.54,5.62,9,272,39,21,1295,77724,43260
1475134230,1.2,51,30.43,69,180.65,2.25,9,272,39,21,1290,77430,43260
1475133921,1.22,51,30.43,72,157.82,3.37,9,272,39,21,1285,77121,43260
1475133623,1.21,51,30.44,67,135.43,5.62,9,272,39,21,1280,76823,43260
1475133328,1.25,51,30.43,67,100.03,2.25,9,272,39,21,1275,76528,43260
1475133020,1.25,51,30.43,68,112.05,6.75,9,272,39,21,1270,76220,43260
1475132720,1.23,51,30.43,70,151.33,9.0,9,272,39,21,1265,75920,43260
1475132426,1.23,51,30.43,75,138.72,6.75,9,272,39,21,1260,75626,43260
1475132118,1.23,51,30.43,73,159.9,7.87,9,272,39,20,1255,75318,43260
1475131821,1.18,52,30.43,68,105.34,4.5,9,272,39,20,1250,75021,43260
1475131520,1.24,52,30.43,67,127.43,5.62,9,272,39,20,1245,74720,43260
1475131219,1.23,52,30.43,67,120.88,7.87,9,272,39,20,1240,74419,43260
1475130918,1.2,52,30.43,65,88.97,2.25,9,272,39,20,1235,74118,43260
1475130622,1.23,52,30.42,65,111.28,4.5,9,272,39,20,1230,73822,43260
1475130324,1.23,52,30.42,66,140.23,5.62,9,272,39,20,1225,73524,43260
1475130029,1.23,52,30.42,65,160.04,6.75,9,272,39,20,1220,73229,43260
1475129724,1.23,52,30.42,66,139.86,10.12,9,272,39,20,1215,72924,43260
1475129419,1.21,52,30.41,67,122.69,6.75,9,272,39,20,1210,72619,43260
1475129122,1.24,52,30.41,66,152.68,1.12,9,272,39,20,1205,72322,43260
